LegacyId|Grade|Category|Description|Objective|Number
3.4.3.c|7|12|"Able to collect, interpret and present data to quantify key project or service metric of budget vs cost."|"<ol><li>In CapX, ensure that actuals are updated from Innate time sheet bookings and that day rates are appropriately set for resources working on the project.</li><li>Use the calculated figured from CapX to monitor project budget.</li><li>Ensure that the amount payable by the project is agreed.</li><li>Contact project finance representative to issue an &quot;invoice&quot; for payment by email with RIT finance on CC.</li><li>Monitor the state of finance requests and receipts by reference to the monthly income report and note any updates on RTP in the Finance Info field on the demand card to demonstrate competence.</li></ol>"|6
3.4.3.d|7|12|"Able to collect, interpret and present data to quantify key project or service metric of quality and compliance."|"<ol><li>For each project, be aware of any highlighted issues around legal, policy or governance compliance.</li><li>Familiarise yourself with the <a href=""https://www.staffnet.manchester.ac.uk/igo/how/sharing-and-storing-information/"">IGO Info Sharing fundamentals</a>, the <a href=""https://documents.manchester.ac.uk/DocuInfo.aspx?DocID=29971"">IGO data classification</a> and IGRR process in One Trust.</li><li>Familiarise yourself with the <a href=""https://www.itservices.manchester.ac.uk/research/services/"">RIT Data Storage Policies</a>.</li><li>Familiarise yourself with software licensing, cyber essentials and research governance basics and bring any elements of which you are unsure to RSELT, PSMT or RSAT.</li><li>Follow these procedures for at least one project where applicable to demonstrate competence.</li></ol>"|7
3.4.4|7|12|Able to understand the compliance needs for owned projects and services.|Yet to be agreed|8
3.4.5|7|12|Able to understand and consistent practise departmental Scrum-like agile project management for owned projects.|"<ol><li>Ensure you are confident with departmental procedure in terms of expectations, processes, practices, terminology and tooling by reading the <a href=""https://stunning-barnacle-evv7695.pages.github.io/handbook.html"">Agile Handbook</a>.</li><li>For each owned project follow the departmental agile process by:<ol><li>Setting up appropriate tooling using GitHub projects (e.g. Backlog, Sprint (iterations), Kanban with automation).</li><li>Facilitating sprint planning within the tool and with engagement of the Product Owner and RSEs assigned.</li><li>Facilitating progress tracking using issue commenting and Kanban.</li><li>Facilitating sprint review meetings.</li><li>Facilitating sprint retrospective with RSEs to ensure that any process improvement is captured for the next sprint.</li><li>Outline and define releases where appropriate, User Acceptance Testing and project completion.</li></ol></li><li>Note where appropriate any legitimate constraints on following the process and feedback to RSE PSMT.</li></ol>"|9
3.4.6|7|12|"Able to identify issues and risks to service and project delivery ahead of time; devise, plan and carry out resolution actions in a timely manner with other members of RSE, RIT or ITS as necessary.   "|"<ol><li>Identify the risks to project delivery such as (RSE sickness or strike, hardware failure, design risks that might not pay off in practice, etc.).</li><li>Evaluate what action you would take if any of these things happened and how effective that would be in reality.</li><li>Where necessary, put in place plans or measures and communicate them to the PO and the RSEs to ensure that contingencies are in place.</li><li>If/when difficulties arise, effectively work with ITS colleagues to resolve issues to ensure the project can progress.</li><li>Contain situations where possible and avoid increasing the blast radius of disputes, looking instead, to maintain service levels while managing expectations.</li><li>Document with your line manager and as part of your PDR, when you have completed these tasks to demonstrate the competency.</li></ol>"|10
3.4.7|7|12|"Able to effectively carry out the departmental demand process, scoping out project requests alongside appropriately selected experts, filing requests as demand cards and logging in the capacity management system."|"<ol><li>Read and understand the RSE department demand process within the <a href=""https://livemanchesterac.sharepoint.com/:b:/r/sites/UOM-ITS-Research-IT-RSEProjectandServiceManagement/Shared%20Documents/RSE%20Project%20and%20Service%20Management/Policies%20and%20Processes/RSE_Project_Demand_And_Monitoring_Process.pdf?csf=1&web=1&e=GNRXfn"">PSM Guide</a>.</li><li>When a new project request comes in, take ownership and arrange a meeting with the customer.</li><li>Complete a RSE Request Document to the required standard and file on SharePoint.</li><li>Manage the project in terms of resourcing and stages of its lifecycle, reporting on any relevant issues to the relevant meetings as appropriate.</li></ol>"|11
3.4.8|7|12|Able to manage effective project plans and schedule multiple streams of work for a set of assigned resources.|"<ol><li>Schedule tasks for the projects within CapX, with resources allocated appropriately, to provide a project plan and time estimation.</li><li>Create GitHub project at kick-off for each project I accordance with the RSE Department agile approach.</li><li>Collaborate with customer and RSEs to provide more granular detail by populating the project backlog and planning the initial sprint.</li><li>Ensure any changes to project duration or effort are properly captured in CapX and, if necessary, GitHub projects. </li><li>Ensure CapX assignments are kept up to date throughout projects and extend projects or add tasks as necessary to ensure planned demand is accurate.</li></ol>"|12
3.4.9|7|12|Able to monitor and record financial information associated with projects and services including budget and spend and facilitate cost recovery from research grants.|"<ol><li>When owning a project, get the R/P code which is to provide funding and note it on the RTP card.</li><li>If necessary, ensure PCMs are completed by line managers for assigned resources.</li><li>If necessary, identify the correct people in school research finance teams to initiate the transfer of funding.</li><li>Add any requested journal transfers to the monitoring document.</li><li>Check the monthly report for successful journal transfers.</li><li>Keep a running total of the amount of money projects owe, what has been requested and when, and what the latest status is in the finance info part of the demand card.</li><li>When requested, be able to provide a true picture of the outstanding finance on the projects you own.</li></ol>"|13
3.5.1|7|4|Able to contribute to project requests in terms of architecture and suggested implementation as requested by RSELT.|<ol><li>Join a project request meeting to support a senior RSE when a suitable request comes in (line manager to keep an eye out in PSM meetings for suitable opportunities).</li><li>Assist senior RSE in estimating resource requirements for project.</li><li>Help senior RSE to develop a suitable architecture and implementation for the project request.</li><li>Assist senior RSE in completing the project request form.</li><li>Share completed request form with line manager to provide evidence for competency.</li></ol>|1
3.5.2|7|4|"Able to provide technical oversight and subject-matter-expert support for relevant projects in portfolios / services / programmes i.e. parachuting in to deal with blockers, provide training to RSEs etc. as requested by project manager."|Yet to be agreed|2
3.5.3|7|4|"Able to develop and maintain shared libraries and local repositories of libraries, tools, documentation etc. to facilitate re-use of code across multiple projects."|Yet to be agreed|3
3.5.4|7|4|Able to develop proof of concepts and experiments / demos / toys to illustrate new features in frameworks and oversee their uptake by other RSEs.|Yet to be agreed|4
3.5.5|7|4|Able to carry out regular show and tell slots to share knowledge.|Yet to be agreed|5
3.5.6|7|4|Able to engage with our communities from a technical and knowledge exchange perspective and model RSE high-performance in those forums.|Yet to be agreed|6
3.5.7|7|4|Able to lead on technical compliance work and any work coming out of the IGO in accordance with data processing and governance policies.|Yet to be agreed|7
3.5.8|7|4|Able to propose and contribute to technical policy as requested by RSELT.|Yet to be agreed|8
3.5.9|7|4|"Able to attend sprint review, sprint planning and technical design meetings to provide suggestions and advice to maintain quality and aid project delivery, as requested by project managers."|Yet to be agreed|9
3.5.10|7|4|Able to lead on ensuring development against security principles and Technical Security Standards (TSS) as required.|Yet to be agreed|10
3.5.11|7|4|Able to encourage and ensure integration with strategic ITS-wide service and processes to better integrate RSE projects with strategic DevOps and security platforms.|Yet to be agreed|11
3.5.12|7|4|Able to enforce that projects within owned domain adopt appropriate change management for production systems.|Yet to be agreed|12
